,cvalue
2020-12-17 07:00:00,0.8699999999999999
2020-12-17 08:00:00,0.8499999999999999
2020-12-17 09:00:00,0.8899999999999997
2020-12-17 10:00:00,0.8899999999999997
2020-12-17 11:00:00,0.8899999999999997
2020-12-17 12:00:00,0.8899999999999997
2020-12-17 13:00:00,0.8899999999999997
2020-12-17 14:00:00,0.9499999999999997
2020-12-17 15:00:00,0.9399999999999997
2020-12-17 16:00:00,0.9299999999999997
2020-12-17 17:00:00,0.9799999999999998
2020-12-17 18:00:00,0.9999999999999998
2020-12-17 19:00:00,1.0499999999999998
2020-12-17 20:00:00,1.0499999999999998
2020-12-17 21:00:00,1.1099999999999999
2020-12-17 22:00:00,1.1099999999999999
2020-12-17 23:00:00,1.0899999999999999
2020-12-18 00:00:00,1.1399999999999997
2020-12-18 01:00:00,1.1399999999999997
2020-12-18 02:00:00,1.1199999999999999
2020-12-18 03:00:00,1.1599999999999997
2020-12-18 04:00:00,1.1199999999999999
2020-12-18 05:00:00,1.1199999999999999
2020-12-18 06:00:00,1.0499999999999998
2020-12-18 07:00:00,1.0299999999999998
2020-12-18 08:00:00,1.0299999999999998
2020-12-18 09:00:00,1.0199999999999998
2020-12-18 10:00:00,1.0299999999999998
2020-12-18 11:00:00,1.0499999999999998
2020-12-18 12:00:00,1.0599999999999998
2020-12-18 13:00:00,1.0699999999999998
2020-12-18 14:00:00,1.13
2020-12-18 15:00:00,1.0999999999999999
2020-12-18 16:00:00,1.0799999999999998
2020-12-18 17:00:00,1.0599999999999998
2020-12-18 18:00:00,1.0299999999999998
2020-12-18 19:00:00,1.0799999999999998
2020-12-18 20:00:00,1.0999999999999999
2020-12-18 21:00:00,1.1899999999999997
2020-12-18 22:00:00,1.2599999999999998
2020-12-18 23:00:00,1.1799999999999997
2020-12-19 00:00:00,1.2099999999999997
2020-12-19 01:00:00,1.2499999999999998
2020-12-19 02:00:00,1.2899999999999998
2020-12-19 03:00:00,1.3099999999999998
2020-12-19 04:00:00,1.3399999999999999
2020-12-19 05:00:00,1.2999999999999998
2020-12-19 06:00:00,1.3499999999999999
2020-12-19 07:00:00,1.3999999999999997
2020-12-19 08:00:00,1.3699999999999999
2020-12-19 09:00:00,1.3999999999999997
2020-12-19 10:00:00,1.4099999999999997
2020-12-19 11:00:00,1.4199999999999997
2020-12-19 12:00:00,1.4299999999999997
2020-12-19 13:00:00,1.4299999999999997
2020-12-19 14:00:00,1.3499999999999999
2020-12-19 15:00:00,1.3699999999999999
2020-12-19 16:00:00,1.4099999999999997
2020-12-19 17:00:00,1.4099999999999997
2020-12-19 18:00:00,1.38
2020-12-19 19:00:00,1.3199999999999998
2020-12-19 20:00:00,1.3099999999999998
2020-12-19 21:00:00,1.2399999999999998
2020-12-19 22:00:00,1.2099999999999997
2020-12-19 23:00:00,1.2499999999999998
2020-12-20 00:00:00,1.2399999999999998
2020-12-20 01:00:00,1.2399999999999998
2020-12-20 02:00:00,1.2199999999999998
2020-12-20 03:00:00,1.1599999999999997
2020-12-20 04:00:00,1.1499999999999997
2020-12-20 05:00:00,1.1699999999999997
2020-12-20 06:00:00,1.1799999999999997
2020-12-20 07:00:00,1.2099999999999997
2020-12-20 08:00:00,1.2299999999999998
2020-12-20 09:00:00,1.2199999999999998
2020-12-20 10:00:00,1.2699999999999998
2020-12-20 11:00:00,1.2599999999999998
2020-12-20 12:00:00,1.2699999999999998
2020-12-20 13:00:00,1.2999999999999998
2020-12-20 14:00:00,1.3699999999999999
2020-12-20 15:00:00,1.38
2020-12-20 16:00:00,1.3699999999999999
2020-12-20 17:00:00,1.4299999999999997
2020-12-20 18:00:00,1.4699999999999998
2020-12-20 19:00:00,1.4399999999999997
2020-12-20 20:00:00,1.4799999999999998
2020-12-20 21:00:00,1.4699999999999998
2020-12-20 22:00:00,1.4799999999999998
2020-12-20 23:00:00,1.4399999999999997
2020-12-21 00:00:00,1.4699999999999998
2020-12-21 01:00:00,1.4999999999999998
2020-12-21 02:00:00,1.5499999999999998
2020-12-21 03:00:00,1.6799999999999997
2020-12-21 04:00:00,1.7599999999999998
2020-12-21 05:00:00,1.7499999999999998
2020-12-21 06:00:00,1.7799999999999998
2020-12-21 07:00:00,1.7899999999999998
2020-12-21 08:00:00,1.8199999999999998
2020-12-21 09:00:00,1.8199999999999998
2020-12-21 10:00:00,1.8499999999999996
2020-12-21 11:00:00,1.8399999999999999
2020-12-21 12:00:00,1.8099999999999998
2020-12-21 13:00:00,1.8099999999999998
2020-12-21 14:00:00,1.7899999999999998
2020-12-21 15:00:00,1.7699999999999998
2020-12-21 16:00:00,1.8199999999999998
2020-12-21 17:00:00,1.8299999999999996
2020-12-21 18:00:00,1.8499999999999996
2020-12-21 19:00:00,1.88
